PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 2.9500e-01    1.2910e+02   -4.3929e-01    1.3603e+00
 2.9600e-01    1.2922e+02   -4.3622e-01    1.3589e+00
 2.9700e-01    1.2934e+02   -4.3309e-01    1.3574e+00
 2.9800e-01    1.2946e+02   -4.3011e-01    1.3559e+00
 2.9900e-01    1.2957e+02   -4.2746e-01    1.3545e+00
 3.0000e-01    1.2966e+02   -4.2536e-01    1.3532e+00
 3.0100e-01    1.2975e+02   -4.2388e-01    1.3521e+00
 3.0200e-01    1.2981e+02   -4.2314e-01    1.3512e+00
 3.0300e-01    1.2987e+02   -4.2314e-01    1.3504e+00
 3.0400e-01    1.2991e+02   -4.2382e-01    1.3499e+00
 3.0500e-01    1.2994e+02   -4.2508e-01    1.3495e+00
 3.0600e-01    1.2996e+02   -4.2674e-01    1.3492e+00
 3.0700e-01    1.2997e+02   -4.2863e-01    1.3490e+00
 3.0800e-01    1.2999e+02   -4.3048e-01    1.3488e+00
 3.0900e-01    1.3001e+02   -4.3211e-01    1.3485e+00
 3.1000e-01    1.3003e+02   -4.3329e-01    1.3481e+00
 3.1100e-01    1.3007e+02   -4.3404e-01    1.3476e+00
 3.1200e-01    1.3012e+02   -4.3414e-01    1.3470e+00
 3.1300e-01    1.3018e+02   -4.3356e-01    1.3461e+00
 3.1400e-01    1.3026e+02   -4.3237e-01    1.3451e+00
 3.1500e-01    1.3034e+02   -4.3058e-01    1.3440e+00
 3.1600e-01    1.3044e+02   -4.2826e-01    1.3427e+00
 3.1700e-01    1.3054e+02   -4.2565e-01    1.3414e+00
 3.1800e-01    1.3065e+02   -4.2281e-01    1.3399e+00
 3.1900e-01    1.3076e+02   -4.2001e-01    1.3385e+00
 3.2000e-01    1.3086e+02   -4.1748e-01    1.3372e+00
 3.2100e-01    1.3095e+02   -4.1542e-01    1.3360e+00
 3.2200e-01    1.3103e+02   -4.1396e-01    1.3349e+00
 3.2300e-01    1.3109e+02   -4.1326e-01    1.3340e+00
 3.2400e-01    1.3114e+02   -4.1327e-01    1.3333e+00
 3.2500e-01    1.3118e+02   -4.1401e-01    1.3328e+00
 3.2600e-01    1.3121e+02   -4.1524e-01    1.3324e+00
 3.2700e-01    1.3123e+02   -4.1679e-01    1.3321e+00
 3.2800e-01    1.3125e+02   -4.1852e-01    1.3319e+00
 3.2900e-01    1.3127e+02   -4.2010e-01    1.3316e+00
 3.3000e-01    1.3130e+02   -4.2139e-01    1.3312e+00
 3.3100e-01    1.3133e+02   -4.2217e-01    1.3308e+00
 3.3200e-01    1.3138e+02   -4.2236e-01    1.3302e+00
 3.3300e-01    1.3144e+02   -4.2184e-01    1.3294e+00
 3.3400e-01    1.3152e+02   -4.2061e-01    1.3284e+00
 3.3500e-01    1.3161e+02   -4.1867e-01    1.3272e+00
 3.3600e-01    1.3170e+02   -4.1619e-01    1.3260e+00
 3.3700e-01    1.3181e+02   -4.1336e-01    1.3246e+00
 3.3800e-01    1.3192e+02   -4.1040e-01    1.3231e+00
 3.3900e-01    1.3202e+02   -4.0751e-01    1.3217e+00
 3.4000e-01    1.3212e+02   -4.0496e-01    1.3204e+00
 3.4100e-01    1.3220e+02   -4.0305e-01    1.3192e+00
 3.4200e-01    1.3227e+02   -4.0190e-01    1.3182e+00
 3.4300e-01    1.3233e+02   -4.0161e-01    1.3175e+00
 3.4400e-01    1.3237e+02   -4.0218e-01    1.3169e+00
 3.4500e-01    1.3239e+02   -4.0342e-01    1.3166e+00
 3.4600e-01    1.3241e+02   -4.0517e-01    1.3163e+00
 3.4700e-01    1.3242e+02   -4.0722e-01    1.3162e+00
 3.4800e-01    1.3243e+02   -4.0928e-01    1.3161e+00
 3.4900e-01    1.3244e+02   -4.1101e-01    1.3159e+00
 3.5000e-01    1.3246e+02   -4.1227e-01    1.3156e+00
 3.5100e-01    1.3250e+02   -4.1286e-01    1.3151e+00
 3.5200e-01    1.3255e+02   -4.1272e-01    1.3145e+00
 3.5300e-01    1.3261e+02   -4.1180e-01    1.3136e+00
 3.5400e-01    1.3269e+02   -4.1015e-01    1.3125e+00
 3.5500e-01    1.3278e+02   -4.0782e-01    1.3113e+00
 3.5600e-01    1.3288e+02   -4.0503e-01    1.3099e+00
 3.5700e-01    1.3298e+02   -4.0207e-01    1.3085e+00
 3.5800e-01    1.3308e+02   -3.9913e-01    1.3071e+00
 3.5900e-01    1.3318e+02   -3.9652e-01    1.3057e+00
 3.6000e-01    1.3326e+02   -3.9450e-01    1.3046e+00
 3.6100e-01    1.3333e+02   -3.9324e-01    1.3036e+00
 3.6200e-01    1.3338e+02   -3.9291e-01    1.3028e+00
 3.6300e-01    1.3342e+02   -3.9352e-01    1.3023e+00
 3.6400e-01    1.3344e+02   -3.9488e-01    1.3020e+00
 3.6500e-01    1.3345e+02   -3.9671e-01    1.3018e+00
 3.6600e-01    1.3346e+02   -3.9881e-01    1.3017e+00
 3.6700e-01    1.3346e+02   -4.0091e-01    1.3016e+00
 3.6800e-01    1.3348e+02   -4.0259e-01    1.3014e+00
 3.6900e-01    1.3350e+02   -4.0373e-01    1.3011e+00
 3.7000e-01    1.3354e+02   -4.0407e-01    1.3005e+00
 3.7100e-01    1.3360e+02   -4.0349e-01    1.2998e+00
 3.7200e-01    1.3368e+02   -4.0197e-01    1.2987e+00
 3.7300e-01    1.3377e+02   -3.9967e-01    1.2975e+00
 3.7400e-01    1.3387e+02   -3.9675e-01    1.2962e+00
 3.7500e-01    1.3397e+02   -3.9347e-01    1.2947e+00
 3.7600e-01    1.3408e+02   -3.9015e-01    1.2932e+00
 3.7700e-01    1.3418e+02   -3.8715e-01    1.2918e+00
 3.7800e-01    1.3427e+02   -3.8477e-01    1.2905e+00
 3.7900e-01    1.3434e+02   -3.8319e-01    1.2895e+00
 3.8000e-01    1.3439e+02   -3.8272e-01    1.2887e+00
 3.8100e-01    1.3442e+02   -3.8333e-01    1.2882e+00
 3.8200e-01    1.3444e+02   -3.8482e-01    1.2880e+00
 3.8300e-01    1.3445e+02   -3.8691e-01    1.2879e+00
 3.8400e-01    1.3444e+02   -3.8930e-01    1.2879e+00
 3.8500e-01    1.3444e+02   -3.9166e-01    1.2879e+00
 3.8600e-01    1.3445e+02   -3.9366e-01    1.2878e+00
 3.8700e-01    1.3447e+02   -3.9504e-01    1.2875e+00
 3.8800e-01    1.3450e+02   -3.9557e-01    1.2871e+00
 3.8900e-01    1.3455e+02   -3.9510e-01    1.2863e+00
 3.9000e-01    1.3462e+02   -3.9367e-01    1.2854e+00
 3.9100e-01    1.3471e+02   -3.9136e-01    1.2842e+00
 3.9200e-01    1.3481e+02   -3.8836e-01    1.2828e+00
 3.9300e-01    1.3492e+02   -3.8502e-01    1.2813e+00
 3.9400e-01    1.3503e+02   -3.8155e-01    1.2798e+00
 3.9500e-01    1.3513e+02   -3.7834e-01    1.2784e+00
 3.9600e-01    1.3522e+02   -3.7580e-01    1.2771e+00
 3.9700e-01    1.3529e+02   -3.7425e-01    1.2761e+00
 3.9800e-01    1.3534e+02   -3.7380e-01    1.2753e+00
 3.9900e-01    1.3537e+02   -3.7450e-01    1.2749e+00
