PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 2.2100e-01    1.4072e+02   -6.9306e-01    1.2611e+00
 2.2200e-01    1.4078e+02   -6.9188e-01    1.2601e+00
 2.2300e-01    1.4084e+02   -6.9070e-01    1.2591e+00
 2.2400e-01    1.4091e+02   -6.8953e-01    1.2582e+00
 2.2500e-01    1.4097e+02   -6.8837e-01    1.2574e+00
 2.2600e-01    1.4103e+02   -6.8722e-01    1.2562e+00
 2.2700e-01    1.4109e+02   -6.8611e-01    1.2554e+00
 2.2800e-01    1.4115e+02   -6.8505e-01    1.2545e+00
 2.2900e-01    1.4120e+02   -6.8405e-01    1.2536e+00
 2.3000e-01    1.4126e+02   -6.8312e-01    1.2528e+00
 2.3100e-01    1.4131e+02   -6.8224e-01    1.2520e+00
 2.3200e-01    1.4136e+02   -6.8143e-01    1.2512e+00
 2.3300e-01    1.4141e+02   -6.8071e-01    1.2504e+00
 2.3400e-01    1.4145e+02   -6.8009e-01    1.2498e+00
 2.3500e-01    1.4149e+02   -6.7955e-01    1.2491e+00
 2.3600e-01    1.4153e+02   -6.7910e-01    1.2485e+00
 2.3700e-01    1.4156e+02   -6.7873e-01    1.2479e+00
 2.3800e-01    1.4159e+02   -6.7844e-01    1.2475e+00
 2.3900e-01    1.4162e+02   -6.7824e-01    1.2470e+00
 2.4000e-01    1.4165e+02   -6.7811e-01    1.2464e+00
 2.4100e-01    1.4168e+02   -6.7801e-01    1.2461e+00
 2.4200e-01    1.4170e+02   -6.7794e-01    1.2457e+00
 2.4300e-01    1.4173e+02   -6.7788e-01    1.2452e+00
 2.4400e-01    1.4175e+02   -6.7780e-01    1.2450e+00
 2.4500e-01    1.4178e+02   -6.7769e-01    1.2446e+00
 2.4600e-01    1.4181e+02   -6.7755e-01    1.2441e+00
 2.4700e-01    1.4183e+02   -6.7734e-01    1.2436e+00
 2.4800e-01    1.4186e+02   -6.7706e-01    1.2432e+00
 2.4900e-01    1.4190e+02   -6.7674e-01    1.2427e+00
 2.5000e-01    1.4193e+02   -6.7638e-01    1.2421e+00
 2.5100e-01    1.4197e+02   -6.7594e-01    1.2415e+00
 2.5200e-01    1.4201e+02   -6.7543e-01    1.2408e+00
 2.5300e-01    1.4205e+02   -6.7483e-01    1.2403e+00
 2.5400e-01    1.4210e+02   -6.7415e-01    1.2396e+00
 2.5500e-01    1.4215e+02   -6.7335e-01    1.2388e+00
 2.5600e-01    1.4221e+02   -6.7244e-01    1.2378e+00
 2.5700e-01    1.4226e+02   -6.7143e-01    1.2371e+00
 2.5800e-01    1.4232e+02   -6.7030e-01    1.2363e+00
 2.5900e-01    1.4238e+02   -6.6910e-01    1.2351e+00
 2.6000e-01    1.4245e+02   -6.6782e-01    1.2343e+00
 2.6100e-01    1.4251e+02   -6.6648e-01    1.2333e+00
 2.6200e-01    1.4258e+02   -6.6509e-01    1.2321e+00
 2.6300e-01    1.4265e+02   -6.6369e-01    1.2311e+00
 2.6400e-01    1.4271e+02   -6.6230e-01    1.2301e+00
 2.6500e-01    1.4278e+02   -6.6094e-01    1.2289e+00
 2.6600e-01    1.4284e+02   -6.5962e-01    1.2281e+00
 2.6700e-01    1.4290e+02   -6.5842e-01    1.2271e+00
 2.6800e-01    1.4295e+02   -6.5731e-01    1.2263e+00
 2.6900e-01    1.4301e+02   -6.5634e-01    1.2254e+00
 2.7000e-01    1.4305e+02   -6.5549e-01    1.2248e+00
 2.7100e-01    1.4310e+02   -6.5479e-01    1.2238e+00
 2.7200e-01    1.4314e+02   -6.5427e-01    1.2233e+00
 2.7300e-01    1.4317e+02   -6.5389e-01    1.2229e+00
 2.7400e-01    1.4320e+02   -6.5366e-01    1.2223e+00
 2.7500e-01    1.4323e+02   -6.5355e-01    1.2219e+00
 2.7600e-01    1.4325e+02   -6.5356e-01    1.2218e+00
 2.7700e-01    1.4327e+02   -6.5365e-01    1.2211e+00
 2.7800e-01    1.4328e+02   -6.5380e-01    1.2209e+00
 2.7900e-01    1.4330e+02   -6.5398e-01    1.2208e+00
 2.8000e-01    1.4331e+02   -6.5421e-01    1.2205e+00
 2.8100e-01    1.4333e+02   -6.5444e-01    1.2203e+00
 2.8200e-01    1.4334e+02   -6.5461e-01    1.2200e+00
 2.8300e-01    1.4336e+02   -6.5474e-01    1.2196e+00
 2.8400e-01    1.4338e+02   -6.5481e-01    1.2195e+00
 2.8500e-01    1.4339e+02   -6.5480e-01    1.2191e+00
 2.8600e-01    1.4342e+02   -6.5471e-01    1.2186e+00
 2.8700e-01    1.4344e+02   -6.5452e-01    1.2183e+00
 2.8800e-01    1.4347e+02   -6.5423e-01    1.2179e+00
 2.8900e-01    1.4350e+02   -6.5383e-01    1.2172e+00
 2.9000e-01    1.4354e+02   -6.5333e-01    1.2167e+00
 2.9100e-01    1.4358e+02   -6.5270e-01    1.2160e+00
 2.9200e-01    1.4362e+02   -6.5196e-01    1.2154e+00
 2.9300e-01    1.4367e+02   -6.5112e-01    1.2146e+00
 2.9400e-01    1.4372e+02   -6.5021e-01    1.2137e+00
 2.9500e-01    1.4377e+02   -6.4920e-01    1.2130e+00
 2.9600e-01    1.4383e+02   -6.4810e-01    1.2120e+00
 2.9700e-01    1.4389e+02   -6.4695e-01    1.2112e+00
 2.9800e-01    1.4395e+02   -6.4574e-01    1.2103e+00
 2.9900e-01    1.4401e+02   -6.4448e-01    1.2094e+00
 3.0000e-01    1.4407e+02   -6.4320e-01    1.2083e+00
 3.0100e-01    1.4413e+02   -6.4194e-01    1.2073e+00
 3.0200e-01    1.4419e+02   -6.4071e-01    1.2066e+00
 3.0300e-01    1.4424e+02   -6.3955e-01    1.2055e+00
 3.0400e-01    1.4429e+02   -6.3849e-01    1.2047e+00
 3.0500e-01    1.4434e+02   -6.3754e-01    1.2038e+00
 3.0600e-01    1.4438e+02   -6.3675e-01    1.2032e+00
 3.0700e-01    1.4442e+02   -6.3613e-01    1.2025e+00
 3.0800e-01    1.4445e+02   -6.3567e-01    1.2020e+00
 3.0900e-01    1.4448e+02   -6.3537e-01    1.2016e+00
 3.1000e-01    1.4450e+02   -6.3522e-01    1.2011e+00
 3.1100e-01    1.4452e+02   -6.3523e-01    1.2010e+00
 3.1200e-01    1.4453e+02   -6.3537e-01    1.2006e+00
 3.1300e-01    1.4454e+02   -6.3562e-01    1.2005e+00
 3.1400e-01    1.4455e+02   -6.3595e-01    1.2004e+00
 3.1500e-01    1.4456e+02   -6.3634e-01    1.2002e+00
 3.1600e-01    1.4456e+02   -6.3678e-01    1.2000e+00
 3.1700e-01    1.4457e+02   -6.3721e-01    1.2000e+00
 3.1800e-01    1.4457e+02   -6.3761e-01    1.2000e+00
 3.1900e-01    1.4458e+02   -6.3792e-01    1.1997e+00
 3.2000e-01    1.4459e+02   -6.3815e-01    1.1995e+00
 3.2100e-01    1.4461e+02   -6.3826e-01    1.1993e+00
 3.2200e-01    1.4463e+02   -6.3825e-01    1.1990e+00
 3.2300e-01    1.4465e+02   -6.3811e-01    1.1986e+00
 3.2400e-01    1.4468e+02   -6.3784e-01    1.1981e+00
 3.2500e-01    1.4471e+02   -6.3740e-01    1.1976e+00
 3.2600e-01    1.4475e+02   -6.3681e-01    1.1971e+00
 3.2700e-01    1.4479e+02   -6.3603e-01    1.1963e+00
