PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 1.5000e-01    1.3609e+02   -9.5064e-01    1.0884e+00
 1.5100e-01    1.3612e+02   -9.5004e-01    1.0878e+00
 1.5200e-01    1.3615e+02   -9.4944e-01    1.0873e+00
 1.5300e-01    1.3618e+02   -9.4883e-01    1.0868e+00
 1.5400e-01    1.3621e+02   -9.4822e-01    1.0862e+00
 1.5500e-01    1.3623e+02   -9.4762e-01    1.0856e+00
 1.5600e-01    1.3626e+02   -9.4701e-01    1.0851e+00
 1.5700e-01    1.3629e+02   -9.4641e-01    1.0845e+00
 1.5800e-01    1.3632e+02   -9.4581e-01    1.0840e+00
 1.5900e-01    1.3634e+02   -9.4524e-01    1.0834e+00
 1.6000e-01    1.3637e+02   -9.4469e-01    1.0829e+00
 1.6100e-01    1.3639e+02   -9.4416e-01    1.0824e+00
 1.6200e-01    1.3642e+02   -9.4365e-01    1.0819e+00
 1.6300e-01    1.3644e+02   -9.4316e-01    1.0815e+00
 1.6400e-01    1.3646e+02   -9.4268e-01    1.0810e+00
 1.6500e-01    1.3648e+02   -9.4220e-01    1.0806e+00
 1.6600e-01    1.3651e+02   -9.4173e-01    1.0801e+00
 1.6700e-01    1.3653e+02   -9.4127e-01    1.0797e+00
 1.6800e-01    1.3655e+02   -9.4082e-01    1.0792e+00
 1.6900e-01    1.3657e+02   -9.4040e-01    1.0789e+00
 1.7000e-01    1.3659e+02   -9.3999e-01    1.0785e+00
 1.7100e-01    1.3660e+02   -9.3959e-01    1.0781e+00
 1.7200e-01    1.3662e+02   -9.3920e-01    1.0778e+00
 1.7300e-01    1.3664e+02   -9.3884e-01    1.0774e+00
 1.7400e-01    1.3666e+02   -9.3851e-01    1.0770e+00
 1.7500e-01    1.3667e+02   -9.3820e-01    1.0768e+00
 1.7600e-01    1.3669e+02   -9.3791e-01    1.0765e+00
 1.7700e-01    1.3670e+02   -9.3764e-01    1.0762e+00
 1.7800e-01    1.3672e+02   -9.3736e-01    1.0759e+00
 1.7900e-01    1.3673e+02   -9.3708e-01    1.0756e+00
 1.8000e-01    1.3675e+02   -9.3680e-01    1.0754e+00
 1.8100e-01    1.3676e+02   -9.3654e-01    1.0751e+00
 1.8200e-01    1.3677e+02   -9.3630e-01    1.0749e+00
 1.8300e-01    1.3678e+02   -9.3608e-01    1.0746e+00
 1.8400e-01    1.3679e+02   -9.3587e-01    1.0744e+00
 1.8500e-01    1.3681e+02   -9.3568e-01    1.0742e+00
 1.8600e-01    1.3682e+02   -9.3550e-01    1.0741e+00
 1.8700e-01    1.3683e+02   -9.3533e-01    1.0739e+00
 1.8800e-01    1.3683e+02   -9.3516e-01    1.0737e+00
 1.8900e-01    1.3684e+02   -9.3498e-01    1.0735e+00
 1.9000e-01    1.3685e+02   -9.3479e-01    1.0733e+00
 1.9100e-01    1.3686e+02   -9.3461e-01    1.0731e+00
 1.9200e-01    1.3687e+02   -9.3443e-01    1.0730e+00
 1.9300e-01    1.3688e+02   -9.3425e-01    1.0728e+00
 1.9400e-01    1.3689e+02   -9.3408e-01    1.0726e+00
 1.9500e-01    1.3690e+02   -9.3391e-01    1.0724e+00
 1.9600e-01    1.3691e+02   -9.3376e-01    1.0722e+00
 1.9700e-01    1.3692e+02   -9.3360e-01    1.0720e+00
 1.9800e-01    1.3692e+02   -9.3344e-01    1.0718e+00
 1.9900e-01    1.3693e+02   -9.3327e-01    1.0717e+00
 2.0000e-01    1.3694e+02   -9.3311e-01    1.0715e+00
 2.0100e-01    1.3695e+02   -9.3296e-01    1.0713e+00
 2.0200e-01    1.3696e+02   -9.3280e-01    1.0712e+00
 2.0300e-01    1.3697e+02   -9.3266e-01    1.0711e+00
 2.0400e-01    1.3698e+02   -9.3249e-01    1.0709e+00
 2.0500e-01    1.3698e+02   -9.3231e-01    1.0707e+00
 2.0600e-01    1.3699e+02   -9.3210e-01    1.0705e+00
 2.0700e-01    1.3700e+02   -9.3189e-01    1.0702e+00
 2.0800e-01    1.3702e+02   -9.3169e-01    1.0700e+00
 2.0900e-01    1.3703e+02   -9.3147e-01    1.0698e+00
 2.1000e-01    1.3704e+02   -9.3126e-01    1.0696e+00
 2.1100e-01    1.3705e+02   -9.3105e-01    1.0694e+00
 2.1200e-01    1.3706e+02   -9.3083e-01    1.0691e+00
 2.1300e-01    1.3707e+02   -9.3061e-01    1.0689e+00
 2.1400e-01    1.3708e+02   -9.3036e-01    1.0687e+00
 2.1500e-01    1.3709e+02   -9.3011e-01    1.0684e+00
 2.1600e-01    1.3711e+02   -9.2986e-01    1.0681e+00
 2.1700e-01    1.3712e+02   -9.2959e-01    1.0679e+00
 2.1800e-01    1.3713e+02   -9.2932e-01    1.0677e+00
 2.1900e-01    1.3715e+02   -9.2904e-01    1.0674e+00
 2.2000e-01    1.3716e+02   -9.2874e-01    1.0671e+00
 2.2100e-01    1.3718e+02   -9.2843e-01    1.0668e+00
 2.2200e-01    1.3719e+02   -9.2812e-01    1.0665e+00
 2.2300e-01    1.3721e+02   -9.2780e-01    1.0662e+00
 2.2400e-01    1.3722e+02   -9.2749e-01    1.0659e+00
 2.2500e-01    1.3723e+02   -9.2719e-01    1.0656e+00
 2.2600e-01    1.3725e+02   -9.2688e-01    1.0653e+00
 2.2700e-01    1.3726e+02   -9.2657e-01    1.0650e+00
 2.2800e-01    1.3728e+02   -9.2624e-01    1.0646e+00
 2.2900e-01    1.3730e+02   -9.2590e-01    1.0643e+00
 2.3000e-01    1.3731e+02   -9.2555e-01    1.0640e+00
 2.3100e-01    1.3733e+02   -9.2520e-01    1.0637e+00
 2.3200e-01    1.3734e+02   -9.2484e-01    1.0633e+00
 2.3300e-01    1.3736e+02   -9.2447e-01    1.0630e+00
 2.3400e-01    1.3738e+02   -9.2408e-01    1.0626e+00
 2.3500e-01    1.3740e+02   -9.2368e-01    1.0623e+00
 2.3600e-01    1.3741e+02   -9.2328e-01    1.0619e+00
 2.3700e-01    1.3743e+02   -9.2290e-01    1.0615e+00
 2.3800e-01    1.3745e+02   -9.2254e-01    1.0612e+00
 2.3900e-01    1.3747e+02   -9.2220e-01    1.0609e+00
 2.4000e-01    1.3749e+02   -9.2189e-01    1.0605e+00
 2.4100e-01    1.3750e+02   -9.2158e-01    1.0602e+00
 2.4200e-01    1.3752e+02   -9.2128e-01    1.0599e+00
 2.4300e-01    1.3754e+02   -9.2098e-01    1.0597e+00
 2.4400e-01    1.3755e+02   -9.2067e-01    1.0593e+00
 2.4500e-01    1.3757e+02   -9.2036e-01    1.0591e+00
 2.4600e-01    1.3758e+02   -9.2004e-01    1.0587e+00
 2.4700e-01    1.3760e+02   -9.1971e-01    1.0584e+00
 2.4800e-01    1.3761e+02   -9.1935e-01    1.0581e+00
 2.4900e-01    1.3763e+02   -9.1896e-01    1.0578e+00
 2.5000e-01    1.3765e+02   -9.1856e-01    1.0574e+00
 2.5100e-01    1.3767e+02   -9.1815e-01    1.0570e+00
 2.5200e-01    1.3768e+02   -9.1775e-01    1.0566e+00
 2.5300e-01    1.3770e+02   -9.1737e-01    1.0562e+00
 2.5400e-01    1.3772e+02   -9.1702e-01    1.0559e+00
 2.5500e-01    1.3773e+02   -9.1669e-01    1.0556e+00
 2.5600e-01    1.3774e+02   -9.1638e-01    1.0553e+00
 2.5700e-01    1.3776e+02   -9.1610e-01    1.0550e+00
 2.5800e-01    1.3777e+02   -9.1584e-01    1.0547e+00
 2.5900e-01    1.3778e+02   -9.1562e-01    1.0545e+00
 2.6000e-01    1.3778e+02   -9.1546e-01    1.0543e+00
 2.6100e-01    1.3779e+02   -9.1534e-01    1.0542e+00
 2.6200e-01    1.3780e+02   -9.1525e-01    1.0541e+00
 2.6300e-01    1.3780e+02   -9.1520e-01    1.0540e+00
 2.6400e-01    1.3780e+02   -9.1516e-01    1.0540e+00
 2.6500e-01    1.3780e+02   -9.1515e-01    1.0539e+00
 2.6600e-01    1.3780e+02   -9.1515e-01    1.0539e+00
 2.6700e-01    1.3780e+02   -9.1519e-01    1.0539e+00
 2.6800e-01    1.3780e+02   -9.1524e-01    1.0539e+00
 2.6900e-01    1.3780e+02   -9.1533e-01    1.0540e+00
 2.7000e-01    1.3779e+02   -9.1547e-01    1.0541e+00
 2.7100e-01    1.3778e+02   -9.1565e-01    1.0542e+00
 2.7200e-01    1.3778e+02   -9.1589e-01    1.0544e+00
 2.7300e-01    1.3777e+02   -9.1616e-01    1.0546e+00
 2.7400e-01    1.3776e+02   -9.1648e-01    1.0549e+00
 2.7500e-01    1.3774e+02   -9.1681e-01    1.0551e+00
 2.7600e-01    1.3773e+02   -9.1716e-01    1.0554e+00
 2.7700e-01    1.3772e+02   -9.1751e-01    1.0557e+00
 2.7800e-01    1.3771e+02   -9.1785e-01    1.0559e+00
 2.7900e-01    1.3769e+02   -9.1819e-01    1.0562e+00
 2.8000e-01    1.3768e+02   -9.1853e-01    1.0565e+00
 2.8100e-01    1.3766e+02   -9.1888e-01    1.0567e+00
 2.8200e-01    1.3765e+02   -9.1922e-01    1.0570e+00
 2.8300e-01    1.3764e+02   -9.1955e-01    1.0573e+00
 2.8400e-01    1.3763e+02   -9.1986e-01    1.0575e+00
 2.8500e-01    1.3761e+02   -9.2016e-01    1.0577e+00
 2.8600e-01    1.3760e+02   -9.2045e-01    1.0579e+00
 2.8700e-01    1.3759e+02   -9.2074e-01    1.0581e+00
 2.8800e-01    1.3758e+02   -9.2100e-01    1.0584e+00
 2.8900e-01    1.3757e+02   -9.2125e-01    1.0586e+00
 2.9000e-01    1.3756e+02   -9.2145e-01    1.0587e+00
 2.9100e-01    1.3755e+02   -9.2162e-01    1.0588e+00
 2.9200e-01    1.3755e+02   -9.2177e-01    1.0589e+00
 2.9300e-01    1.3754e+02   -9.2190e-01    1.0590e+00
 2.9400e-01    1.3753e+02   -9.2201e-01    1.0591e+00
 2.9500e-01    1.3753e+02   -9.2213e-01    1.0592e+00
 2.9600e-01    1.3753e+02   -9.2223e-01    1.0592e+00
 2.9700e-01    1.3752e+02   -9.2232e-01    1.0593e+00
 2.9800e-01    1.3752e+02   -9.2240e-01    1.0594e+00
 2.9900e-01    1.3752e+02   -9.2244e-01    1.0594e+00
 3.0000e-01    1.3752e+02   -9.2246e-01    1.0593e+00
 3.0100e-01    1.3753e+02   -9.2243e-01    1.0593e+00
 3.0200e-01    1.3753e+02   -9.2236e-01    1.0591e+00
 3.0300e-01    1.3753e+02   -9.2224e-01    1.0590e+00
 3.0400e-01    1.3754e+02   -9.2210e-01    1.0589e+00
 3.0500e-01    1.3755e+02   -9.2194e-01    1.0587e+00
 3.0600e-01    1.3755e+02   -9.2177e-01    1.0586e+00
 3.0700e-01    1.3756e+02   -9.2156e-01    1.0584e+00
 3.0800e-01    1.3757e+02   -9.2133e-01    1.0581e+00
 3.0900e-01    1.3758e+02   -9.2107e-01    1.0579e+00
 3.1000e-01    1.3759e+02   -9.2078e-01    1.0577e+00
 3.1100e-01    1.3760e+02   -9.2048e-01    1.0574e+00
 3.1200e-01    1.3761e+02   -9.2018e-01    1.0571e+00
 3.1300e-01    1.3762e+02   -9.1986e-01    1.0568e+00
 3.1400e-01    1.3763e+02   -9.1956e-01    1.0565e+00
 3.1500e-01    1.3765e+02   -9.1927e-01    1.0563e+00
 3.1600e-01    1.3766e+02   -9.1901e-01    1.0560e+00
 3.1700e-01    1.3767e+02   -9.1879e-01    1.0558e+00
 3.1800e-01    1.3768e+02   -9.1863e-01    1.0556e+00
 3.1900e-01    1.3768e+02   -9.1851e-01    1.0554e+00
 3.2000e-01    1.3769e+02   -9.1842e-01    1.0554e+00
 3.2100e-01    1.3770e+02   -9.1834e-01    1.0553e+00
 3.2200e-01    1.3770e+02   -9.1827e-01    1.0552e+00
